gpcBrickCode,category
10006038,FRUITS_AND_VEGETABLES
10006040,FRUITS_AND_VEGETABLES
10006041,FRUITS_AND_VEGETABLES
10006044,FRUITS_AND_VEGETABLES
10006045,FRUITS_AND_VEGETABLES
10006046,FRUITS_AND_VEGETABLES
10006047,FRUITS_AND_VEGETABLES
10006048,FRUITS_AND_VEGETABLES
10006049,FRUITS_AND_VEGETABLES
10006050,FRUITS_AND_VEGETABLES
10006051,FRUITS_AND_VEGETABLES
10006052,FRUITS_AND_VEGETABLES
10006053,FRUITS_AND_VEGETABLES
10006054,FRUITS_AND_VEGETABLES
10006055,FRUITS_AND_VEGETABLES
10006056,FRUITS_AND_VEGETABLES
10006057,FRUITS_AND_VEGETABLES
10006058,FRUITS_AND_VEGETABLES
10006059,FRUITS_AND_VEGETABLES
10006060,FRUITS_AND_VEGETABLES
10006061,FRUITS_AND_VEGETABLES
10006063,FRUITS_AND_VEGETABLES
10006065,FRUITS_AND_VEGETABLES
10006066,FRUITS_AND_VEGETABLES
10006071,FRUITS_AND_VEGETABLES
10006072,FRUITS_AND_VEGETABLES
10006074,FRUITS_AND_VEGETABLES
10006075,FRUITS_AND_VEGETABLES
10006076,FRUITS_AND_VEGETABLES
10006077,FRUITS_AND_VEGETABLES
10006078,FRUITS_AND_VEGETABLES
10006079,FRUITS_AND_VEGETABLES
10006085,FRUITS_AND_VEGETABLES
10006086,FRUITS_AND_VEGETABLES
10006088,FRUITS_AND_VEGETABLES
10006089,FRUITS_AND_VEGETABLES
10006090,FRUITS_AND_VEGETABLES
10006091,FRUITS_AND_VEGETABLES
10006092,FRUITS_AND_VEGETABLES
10006093,FRUITS_AND_VEGETABLES
10006094,FRUITS_AND_VEGETABLES
10006095,FRUITS_AND_VEGETABLES
10006097,FRUITS_AND_VEGETABLES
10006100,FRUITS_AND_VEGETABLES
10006102,FRUITS_AND_VEGETABLES
10006104,FRUITS_AND_VEGETABLES
10006107,FRUITS_AND_VEGETABLES
10006108,FRUITS_AND_VEGETABLES
10006109,FRUITS_AND_VEGETABLES
10006110,FRUITS_AND_VEGETABLES
10006111,FRUITS_AND_VEGETABLES
10006112,FRUITS_AND_VEGETABLES
10006113,FRUITS_AND_VEGETABLES
10006114,FRUITS_AND_VEGETABLES
10006115,FRUITS_AND_VEGETABLES
10006116,FRUITS_AND_VEGETABLES
10006117,FRUITS_AND_VEGETABLES
10006118,FRUITS_AND_VEGETABLES
10006119,FRUITS_AND_VEGETABLES
10006120,FRUITS_AND_VEGETABLES
10006121,FRUITS_AND_VEGETABLES
10006122,FRUITS_AND_VEGETABLES
10006123,FRUITS_AND_VEGETABLES
10006124,FRUITS_AND_VEGETABLES
10006125,FRUITS_AND_VEGETABLES
10006126,FRUITS_AND_VEGETABLES
